id,question_id,option_key,option_text,weight_react,weight_trust,weight_indep,weight_mobil,weight_safety,weight_adapt,weight_commu,weight_prep
03635ee4-0d28-4060-b4ca-49df31ff5985,fb464f5a-ba92-494a-bde0-25bbfca054ea,C,"Team up with someone, but still make your own decisions along the way.",0,0,1,0,0,1,0,0
06bfa80d-c27a-4ca8-ba78-d43b0d48febc,e755dcfa-e6b9-4784-9281-7b047e9e18b6,E,"I would stay as close to home as possible, I don't want to go far.",0,0,0,-2,-2,0,0,0
0b032366-d984-4909-9f10-1a2cbb1748fd,dab4be99-b386-4a76-a81f-1869bcc49cd4,B,"Go through your checklist, finish packing, and head out the door.",0,0,0,0,0,2,0,1
0d10cf45-408d-4cd6-bd87-43415d127fba,8138467a-9e6a-46ed-ac5c-aa51d8d800d7,B,Look for more information before deciding.,1,0,0,0,0,1,0,0
1818b384-6e03-47e7-aa32-c1215b51f298,be7bf6f1-30e7-4d16-a1d5-c7138f2f7cb0,D,Feel stuck and struggle to decide what to do next.,0,0,-2,-2,0,-2,0,0
186364bb-fff9-4cb1-8b86-e22822e46f62,2dab8d55-7958-44f6-a547-a43f6b7c5efc,A,Use your own private vehicle (if available) to bring more things.,0,-2,0,-2,0,0,0,2
268b6708-3fb9-4d58-8dda-cdf6c7c42781,2dab8d55-7958-44f6-a547-a43f6b7c5efc,C,Take public transport but try to carry all the things you need.,0,1,0,-1,0,0,0,1
2a323a4c-dfcd-417e-a056-be08d75284fc,fb464f5a-ba92-494a-bde0-25bbfca054ea,D,Continue alone and rely on your own judgment.,0,0,2,0,0,-1,0,0
317b2a3c-bcd1-4827-bbd6-9b6a6470b2b0,e755dcfa-e6b9-4784-9281-7b047e9e18b6,D,"Outside Finland, to another country where I could stay safely.",0,0,0,2,0,0,0,0
353e6371-ad1e-4c22-a5e2-f5e7327eb532,fb464f5a-ba92-494a-bde0-25bbfca054ea,B,Find someone nearby and suggest moving together for mutual support.,0,0,0,0,0,2,0,0
37626f66-91d4-4242-8a34-c2cea3e03d20,96b32aff-2ec7-4324-96bd-4df9db09f551,D,"Take note of how many bags others bring, and might consider to bring an extra one yourself too.",1,0,0,0,0,0,-2,0
3ec77c1b-27cc-44a6-814c-80f1df2f58c7,3cb3dfd5-28dc-43f5-9ef2-3029b3f05781,C,Pause and consider if you might get any risk before deciding.,0,0,0,0,1,0,0,0
