id,question_id,option_key,option_text,weight_react,weight_trust,weight_indep,weight_adapt,weight_mobil,weight_safety
0a38b7cd-5e90-4ec8-84b8-4551d50b4557,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,D,Decide on the go and adjust based on what seems most efficient,1,-1,2,1,1,1
0e67b7e1-8076-40d4-b677-4379bb3690a9,a5fc68e8-ff5c-45fe-bc2f-736163c1ed74,D,,0,0,0,0,0,0
0e9c2339-9648-404b-aa66-57512179d003,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,D,,0,0,0,0,0,0
1a9f411c-2c57-41c2-8a57-adde929f0d55,4279db11-59df-43e4-be12-42cb42099b86,A,Go somewhere officially recommended or organized,1,2,-1,1,1,2
1aec717f-12c9-4ef7-9df9-9e50f55d57a9,a5fc68e8-ff5c-45fe-bc2f-736163c1ed74,A,Wait in the vehicle for clear instructions before doing anything,0,2,-2,-1,-1,2
3d3ede81-f685-4523-bdf6-03e39e74f100,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,B,Take your own route or car,0,-1,2,0,0,-2
4a3b46c5-17fe-4140-b1a4-2c5e388f493b,a5fc68e8-ff5c-45fe-bc2f-736163c1ed74,C,Ask other people nearby and decide together whether to wait or go,1,-1,-1,1,0,0
4d9c3eb0-679e-4dfc-b002-0005dd1ec994,a5fc68e8-ff5c-45fe-bc2f-736163c1ed74,B,"Get out of the vehicle, figure out your own alternative and keep moving",2,-1,2,1,2,-2
5e897a09-4446-45ea-9293-ea6a18598d3e,79043a5f-79fc-41ab-90ab-3f2be40d80d9,B,"Immediately start preparing to leave — gathering supplies, charging devices, packing",2,0,0,1,1,2
69be0841-1397-4a9b-b9a6-2ab494ece3c9,4279db11-59df-43e4-be12-42cb42099b86,E,,0,0,0,0,0,0
7a4fac22-f592-472e-9a3e-fcd050c90069,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,A,"See what most people do, or ask close family/friends, and follow along",0,0,-2,0,0,0
7d00e8e5-cca9-449d-9a55-de6d2b7b4f26,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,E,,0,0,0,0,0,0
89413fa6-53a2-4d6b-bbbe-1a7a2fd543ed,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,C,Plan carpooling together with friends/neighbours,0,-1,1,1,1,0
8c2d1ab2-5469-4ade-b792-a11d916477e1,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,C,"Decide for yourself, and start moving or planning where to go",1,0,2,0,2,-1
8f9f3cc4-bc5e-4e30-a755-ddc6a2b06de8,79043a5f-79fc-41ab-90ab-3f2be40d80d9,C,Check the local news and/or other information sources to confirm the situation,0,-1,2,0,0,0
b5f3db04-2637-444d-92e2-e2bc09d7f429,4279db11-59df-43e4-be12-42cb42099b86,D,Stay where you are for now,-1,-2,1,-1,-2,-2
bab98e0c-ed59-4889-95e9-462e4a7d6caa,8db28d59-38ed-4e1f-855a-2a441cdfc5ff,B,Stick to the original advice and still wait for more information,0,2,0,0,0,0
ca47b9d0-7570-467c-90d3-bc16abdcab7f,0da2566c-99b0-4ac4-834e-f0ebc1b15c5c,A,Use organized/public transport or follow suggested routes from the authorities,0,2,-1,2,2,2
d884260f-bf14-4db7-aeef-39e596377a8c,4279db11-59df-43e4-be12-42cb42099b86,C,Decide to get as far away as possible,1,0,1,1,2,-1
dbcf30f9-2b50-4e2d-96ee-38ecfe454eda,79043a5f-79fc-41ab-90ab-3f2be40d80d9,D,,0,0,0,0,0,0
e73d0437-5588-40d6-9c05-ce140fccc6ed,4279db11-59df-43e4-be12-42cb42099b86,B,"Contact friends or family and ask to stay at theirs, or a familiar place",1,0,-2,1,1,0
e979ecb9-eaa1-4365-b847-02dfff1b4961,79043a5f-79fc-41ab-90ab-3f2be40d80d9,A,Wait calmly for more information and continue life as usual,0,2,0,0,0,1
